method,n,size,repeats,adjusted,mmae,std,prec,rec,f1,acc
pearson,53,100,10,adjusted,3.2073906208181873,0.1684725341983654,0.7090909090909091,0.308300395256917,0.4297520661157025,0.793
cosine,24,100,10,adjusted,3.123624694094314,0.1614607812623423,0.7875,0.250996015936255,0.3806646525679759,0.795
pearson,58,100,10,nonadjusted,3.473640492101482,0.22961231458223474,0.6231884057971014,0.15808823529411764,0.25219941348973607,0.745
cosine,71,100,10,adjusted,3.313636761833829,0.21021682871368916,0.8117647058823529,0.2593984962406015,0.3931623931623932,0.787
pearson,97,100,10,nonadjusted,3.591928443666869,0.20861286100807613,0.6981132075471698,0.15611814345991562,0.25517241379310346,0.784
cosine,91,100,10,nonadjusted,3.383110577684262,0.3574156036928701,0.5403225806451613,0.5296442687747036,0.5349301397205589,0.767
pearson,14,100,10,nonadjusted,3.6025662379206755,0.40583976091444135,0.5463917525773195,0.20075757575757575,0.2936288088642659,0.745
cosine,12,100,10,nonadjusted,3.3002767051642636,0.09376813276650273,0.5330739299610895,0.5092936802973977,0.5209125475285171,0.748
pearson,67,100,10,nonadjusted,3.573509588732256,0.09787033156561362,0.6296296296296297,0.136,0.2236842105263158,0.764
cosine,61,100,10,nonadjusted,3.2373154612254114,0.09228787888439935,0.6410256410256411,0.5338078291814946,0.5825242718446602,0.785
pearson,93,100,10,adjusted,3.2624498079026822,0.24287654960500762,0.7191011235955056,0.2711864406779661,0.3938461538461539,0.803
cosine,87,100,10,nonadjusted,3.3636011086530515,0.2773965857962843,0.5615384615384615,0.5468164794007491,0.5540796963946869,0.765
pearson,81,100,10,nonadjusted,3.671463662288555,0.2641416394277782,0.6,0.11538461538461539,0.1935483870967742,0.775
cosine,77,100,10,nonadjusted,3.3230436716952667,0.29193683612954224,0.49377593360995853,0.4541984732824427,0.47316103379721675,0.735
pearson,71,100,10,nonadjusted,3.7194146542008197,0.17603240010411372,0.6346153846153846,0.13692946058091288,0.22525597269624578,0.773
pearson,24,100,10,adjusted,3.2514744922396446,0.3056676344271283,0.7142857142857143,0.31496062992125984,0.4371584699453552,0.794
cosine,53,100,10,adjusted,3.3667469044388256,0.2801231220024141,0.8191489361702128,0.2873134328358209,0.4254143646408839,0.792
pearson,38,100,10,nonadjusted,3.785212642289489,0.2337624974231519,0.6507936507936508,0.15185185185185185,0.24624624624624625,0.749
pearson,39,100,10,adjusted,3.2379806030710796,0.2779514740843248,0.7475728155339806,0.29277566539923955,0.4207650273224044,0.788
cosine,28,100,10,nonadjusted,3.465258423435808,0.22462159127025555,0.5021834061135371,0.48523206751054854,0.4935622317596566,0.764
pearson,71,100,10,adjusted,3.228975200915504,0.29808702599870635,0.8426966292134831,0.26785714285714285,0.40650406504065034,0.781
cosine,8,100,10,nonadjusted,3.550840771490706,0.2060127636207564,0.4674329501915709,0.46564885496183206,0.4665391969407266,0.721
pearson,89,100,10,adjusted,3.2224739413700974,0.24518499852054385,0.7872340425531915,0.30327868852459017,0.43786982248520706,0.81
pearson,94,100,10,adjusted,3.1943101072619435,0.251529958296338,0.7314814814814815,0.29259259259259257,0.41798941798941797,0.78
pearson,76,100,10,adjusted,3.2876304922050275,0.287573387499043,0.7355371900826446,0.3296296296296296,0.4552429667519182,0.787
cosine,54,100,10,adjusted,3.233753519550246,0.24732701450549469,0.7441860465116279,0.2570281124497992,0.3820895522388059,0.793
pearson,23,100,10,adjusted,3.1512573686662457,0.24023681596805305,0.7647058823529411,0.312,0.4431818181818181,0.804
cosine,100,100,10,adjusted,3.2903437542462894,0.22899019269208334,0.7872340425531915,0.275092936802974,0.4077134986225895,0.785
cosine,49,100,10,adjusted,3.1875051948055555,0.3663176378606932,0.7586206896551724,0.24812030075187969,0.3739376770538243,0.779
cosine,40,100,10,adjusted,3.0299530322412713,0.27761523396132076,0.8285714285714286,0.32954545454545453,0.4715447154471545,0.805
pearson,37,100,10,adjusted,3.31105181205999,0.2699849556988621,0.7653061224489796,0.27472527472527475,0.40431266846361186,0.779
pearson,62,100,10,adjusted,3.181723283061228,0.20220750777930302,0.7669902912621359,0.2958801498127341,0.42702702702702705,0.788
cosine,15,100,10,adjusted,3.1796023446057426,0.19379308308113888,0.7802197802197802,0.284,0.41642228739002934,0.801
cosine,5,100,10,adjusted,3.4579627888250584,0.2587251084451183,0.6974789915966386,0.30514705882352944,0.4245524296675192,0.775
pearson,80,100,10,adjusted,3.2026483014214926,0.15906291814262596,0.7818181818181819,0.31970260223048325,0.4538258575197889,0.793
pearson,6,100,10,nonadjusted,3.6803955042534655,0.23269188441615005,0.539568345323741,0.2819548872180451,0.3703703703703704,0.745
cosine,12,100,10,adjusted,3.2192384724503507,0.24460533175702698,0.7647058823529411,0.2480916030534351,0.3746397694524496,0.783
pearson,25,100,10,nonadjusted,3.5883423082549526,0.22278453918098756,0.6811594202898551,0.17537313432835822,0.2789317507418398,0.757
pearson,65,100,10,adjusted,3.2487209867031135,0.18948710470918706,0.6893203883495146,0.26996197718631176,0.3879781420765027,0.776
cosine,23,100,10,nonadjusted,3.371697710061375,0.2569850450214149,0.61328125,0.5413793103448276,0.575091575091575,0.768
pearson,56,100,10,nonadjusted,3.7697419608606744,0.24163269642226784,0.5434782608695652,0.08896797153024912,0.1529051987767584,0.723
cosine,50,100,10,nonadjusted,3.1884396152188317,0.1978140605810115,0.5414847161572053,0.5367965367965368,0.5391304347826088,0.788
pearson,78,100,10,adjusted,3.143759786022755,0.2218184388491894,0.6875,0.2894736842105263,0.4074074074074074,0.776
cosine,3,100,10,nonadjusted,3.6494738058667493,0.4022238340074811,0.5110294117647058,0.5366795366795367,0.5235404896421845,0.747
cosine,35,100,10,nonadjusted,3.3932723812855583,0.1935783666454685,0.5789473684210527,0.5355805243445693,0.556420233463035,0.772
pearson,30,100,10,adjusted,3.1158885635736158,0.25939379971291393,0.7641509433962265,0.3176470588235294,0.44875346260387805,0.801
cosine,47,100,10,adjusted,3.219940956788914,0.26250190593261746,0.8045977011494253,0.25547445255474455,0.38781163434903054,0.779
pearson,33,100,10,nonadjusted,3.60937078444262,0.24619536928502256,0.573170731707317,0.17870722433460076,0.27246376811594203,0.749
cosine,46,100,10,nonadjusted,3.417778162810258,0.24519801925981669,0.5407725321888412,0.49606299212598426,0.5174537987679672,0.765
pearson,40,100,10,nonadjusted,3.4695175220207126,0.33835873920150544,0.6103896103896104,0.1709090909090909,0.26704545454545453,0.742
cosine,19,100,10,nonadjusted,3.5211428158241374,0.19976361446583946,0.5361702127659574,0.4883720930232558,0.511156186612576,0.759
cosine,2,100,10,adjusted,3.78691965523167,0.3396996095362478,0.4797297297297297,0.3034188034188034,0.3717277486910995,0.76
pearson,87,100,10,adjusted,3.189189050512318,0.2567245414886942,0.7843137254901961,0.31496062992125984,0.449438202247191,0.804
cosine,90,100,10,adjusted,3.3827835541271227,0.2799285766499628,0.7682926829268293,0.22826086956521738,0.3519553072625698,0.768
pearson,5,100,10,adjusted,3.383124315465591,0.2606752997261225,0.6850393700787402,0.3246268656716418,0.440506329113924,0.779
pearson,1,100,10,nonadjusted,4.983759999999999,0.36354866854384127,0.3412969283276451,0.4032258064516129,0.36968576709796674,0.659
cosine,27,100,10,adjusted,3.2605243918407316,0.13515496760176096,0.7272727272727273,0.25806451612903225,0.38095238095238093,0.792
pearson,50,100,10,adjusted,3.1359504690783586,0.2487122587885057,0.7428571428571429,0.2943396226415094,0.42162162162162165,0.786
cosine,72,100,10,adjusted,3.1531086060908136,0.12601029672207437,0.8666666666666667,0.2899628252788104,0.4345403899721448,0.797
pearson,18,100,10,adjusted,3.202487159033857,0.1411650595415743,0.7570093457943925,0.34177215189873417,0.4709302325581395,0.818
pearson,47,100,10,nonadjusted,3.5776099818277487,0.3065821881383741,0.47058823529411764,0.1350210970464135,0.20983606557377046,0.759
cosine,41,100,10,nonadjusted,3.557131553449044,0.26899949016826796,0.4897119341563786,0.44569288389513106,0.4666666666666666,0.728
pearson,2,100,10,adjusted,3.604484956412455,0.34430249274536834,0.5573770491803278,0.43037974683544306,0.48571428571428565,0.784
pearson,34,100,10,nonadjusted,3.8538490688192963,0.2937053445083928,0.5679012345679012,0.18110236220472442,0.2746268656716418,0.757
cosine,32,100,10,nonadjusted,3.4703470452563905,0.2276120606290973,0.5070422535211268,0.4462809917355372,0.4747252747252747,0.761
cosine,4,100,10,nonadjusted,3.605347146973467,0.1994714263087874,0.5111111111111111,0.552,0.5307692307692308,0.756
cosine,57,100,10,nonadjusted,3.3995515973716173,0.3324448462627722,0.542016806722689,0.50390625,0.5222672064777328,0.764
pearson,51,100,10,nonadjusted,3.5933034499344934,0.3427712448189615,0.6875,0.19927536231884058,0.3089887640449438,0.754
cosine,24,100,10,nonadjusted,3.2685412428224625,0.24710551180611126,0.4921259842519685,0.5102040816326531,0.5010020040080161,0.751
pearson,22,100,10,nonadjusted,3.6813220656389873,0.33216397185125557,0.6415094339622641,0.2537313432835821,0.36363636363636365,0.762
cosine,97,100,10,adjusted,3.2804218669122363,0.19270813119523492,0.8023255813953488,0.2816326530612245,0.4169184290030211,0.807
cosine,75,100,10,adjusted,3.208126818174842,0.2508348018723734,0.78125,0.26595744680851063,0.3968253968253968,0.772
pearson,18,100,10,nonadjusted,3.6006516625719605,0.16508127379020196,0.5306122448979592,0.20155038759689922,0.29213483146067415,0.748
cosine,68,100,10,adjusted,3.0882331179558102,0.18892106316201573,0.8367346938775511,0.2789115646258503,0.41836734693877553,0.772
pearson,57,100,10,adjusted,3.179013525351052,0.1906853694678268,0.7,0.28308823529411764,0.4031413612565445,0.772
cosine,20,100,10,adjusted,3.1605287765577734,0.21868961325998193,0.7222222222222222,0.25793650793650796,0.38011695906432746,0.788
pearson,76,100,10,nonadjusted,3.600355542498916,0.30097252318538487,0.6346153846153846,0.12595419847328243,0.21019108280254778,0.752
pearson,43,100,10,adjusted,3.140473391739988,0.1745935837717172,0.7875,0.26141078838174275,0.39252336448598135,0.805
cosine,34,100,10,adjusted,3.1810444990132147,0.226840383832795,0.7291666666666666,0.2892561983471074,0.4142011834319526,0.802
cosine,70,100,10,nonadjusted,3.231881987474105,0.2618467596744615,0.5772727272727273,0.5,0.5358649789029536,0.78
cosine,29,100,10,adjusted,3.247000544871798,0.21065433500559738,0.7710843373493976,0.24615384615384617,0.3731778425655977,0.785
pearson,86,100,10,nonadjusted,3.6143025253719023,0.15264609809196483,0.58,0.1111111111111111,0.18649517684887462,0.747
cosine,80,100,10,nonadjusted,3.244536117896699,0.23783532553041858,0.5836734693877551,0.562992125984252,0.5731462925851704,0.787
cosine,66,100,10,nonadjusted,3.3048647882175457,0.26524775022493113,0.5829787234042553,0.5591836734693878,0.5708333333333332,0.794
cosine,61,100,10,adjusted,3.1535124784163946,0.2693222635035702,0.7317073170731707,0.21660649819494585,0.3342618384401114,0.761
pearson,60,100,10,nonadjusted,3.515949572686112,0.292565639654055,0.5862068965517241,0.136,0.2207792207792208,0.76
pearson,16,100,10,adjusted,3.242780159715365,0.26122105463766665,0.76,0.2825278810408922,0.41192411924119243,0.783
cosine,15,100,10,nonadjusted,3.5158443135926944,0.3060359037843262,0.48031496062992124,0.49193548387096775,0.48605577689243024,0.742
pearson,13,100,10,nonadjusted,3.672928353889483,0.22157771073320484,0.5227272727272727,0.1885245901639344,0.27710843373493976,0.76
cosine,96,100,10,nonadjusted,3.508592205494486,0.27835295913701397,0.5446428571428571,0.46037735849056605,0.4989775051124744,0.755
pearson,90,100,10,nonadjusted,3.505553525520044,0.28957264648684644,0.5892857142857143,0.12313432835820895,0.20370370370370372,0.742
cosine,83,100,10,adjusted,3.2467250307020614,0.17130040771261826,0.8072289156626506,0.25769230769230766,0.39067055393586003,0.791
pearson,29,100,10,nonadjusted,3.6020744740910757,0.32830930687399285,0.45263157894736844,0.16412213740458015,0.2408963585434174,0.729
cosine,39,100,10,nonadjusted,3.4126454069533407,0.3256265538335117,0.5130434782608696,0.4978902953586498,0.5053533190578159,0.769
pearson,11,100,10,adjusted,3.2154115834195016,0.2682157316643926,0.8076923076923077,0.3633217993079585,0.5011933174224344,0.791
cosine,66,100,10,adjusted,3.1856342691405466,0.11981060975868249,0.7446808510638298,0.26119402985074625,0.3867403314917127,0.778
cosine,33,100,10,adjusted,3.345403189067304,0.19201421403244062,0.7721518987341772,0.22676579925650558,0.3505747126436782,0.774
pearson,44,100,10,adjusted,3.0585065764239854,0.26979773631657544,0.7314814814814815,0.32510288065843623,0.45014245014245013,0.807
pearson,59,100,10,adjusted,3.2166481498884876,0.2501583627619033,0.7128712871287128,0.301255230125523,0.4235294117647058,0.804
cosine,99,100,10,adjusted,3.2377055535095387,0.2472902861640605,0.8202247191011236,0.2644927536231884,0.4,0.781
cosine,84,100,10,adjusted,3.1642425421736564,0.2891474443195436,0.7976190476190477,0.250936329588015,0.3817663817663818,0.783
pearson,100,100,10,adjusted,3.1763671889081615,0.28323010013198785,0.6981132075471698,0.30833333333333335,0.42774566473988446,0.802
cosine,92,100,10,adjusted,3.2219360358056774,0.2535057397010634,0.7976190476190477,0.2427536231884058,0.37222222222222223,0.774
pearson,19,100,10,nonadjusted,3.711665008991903,0.20411337173364769,0.6588235294117647,0.21875,0.3284457478005865,0.771
pearson,7,100,10,adjusted,3.4849993185563752,0.32227452289201325,0.7131147540983607,0.31521739130434784,0.4371859296482412,0.776
cosine,25,100,10,adjusted,3.276477978631916,0.18643518514108467,0.8021978021978022,0.3054393305439331,0.4424242424242424,0.816
pearson,52,100,10,adjusted,3.175075308843967,0.2728626308051314,0.8,0.31496062992125984,0.45197740112994345,0.806
pearson,46,100,10,nonadjusted,3.5929848419270365,0.35535385749217385,0.6119402985074627,0.13993174061433447,0.22777777777777777,0.722
cosine,40,100,10,nonadjusted,3.364958808442007,0.3445640848229651,0.5541666666666667,0.5384615384615384,0.5462012320328542,0.779
pearson,35,100,10,nonadjusted,3.7480130302828214,0.19034535600823854,0.578125,0.13653136531365315,0.2208955223880597,0.739
cosine,33,100,10,nonadjusted,3.531789057429516,0.24794154473870228,0.5,0.46558704453441296,0.4821802935010482,0.753
cosine,38,100,10,adjusted,3.049251846155492,0.1989150954231711,0.84,0.245136186770428,0.3795180722891566,0.794
cosine,70,100,10,adjusted,3.136431101265323,0.178391728302078,0.7926829268292683,0.25793650793650796,0.3892215568862276,0.796
cosine,5,100,10,nonadjusted,3.5052693434277904,0.2482529247166321,0.5447761194029851,0.5367647058823529,0.5407407407407407,0.752
cosine,56,100,10,nonadjusted,3.2130096483906465,0.14433952817058127,0.531496062992126,0.5421686746987951,0.536779324055666,0.767
pearson,50,100,10,nonadjusted,3.5926597453764897,0.2712074199719936,0.5606060606060606,0.15546218487394958,0.24342105263157893,0.77
cosine,25,100,10,nonadjusted,3.3654242371656267,0.21587353833663847,0.556420233463035,0.539622641509434,0.5478927203065135,0.764
pearson,23,100,10,nonadjusted,3.711958636556838,0.16932662805925702,0.5727272727272728,0.23507462686567165,0.33333333333333337,0.748
